Flight No.,"Version,Booster [b]",Launch site,Payload[c],Payload mass,Orbit,Customer,Launchoutcome,Boosterlanding,Payload,Launch outcome,Version Booster,Booster landing,Date,Time
24,,CCAFS,,,,,,,,,F9 B5[268],,18 April 2014,01:45
25,,CCAFS,,,,,,,,,F9 B5,,14 July 2014,07:49
26,,CCAFS,,,,,,,,,F9 B5B1049.3,,5 August 2014,06:48
27,,KSC,,,,,,,,,F9 B5B1051.2,,7 September 2014,02:30
28,,CCAFS,,,,,,,,,F9 B5B1056.2,,21 September 2014,14:17
29,,CCAFS,,,,,,,,,F9 B5B1047.3,,10 January 2015,22:01
30,,KSC,,,,,,,,,F9 B5,,11 February 2015,23:23
31,,KSC,,,,,,,,,F9 B5,,2 March 2015,14:56
32,,KSC,,,,,,,,,F9 B5B1056.3,,14 April 2015,17:29
33,,CCAFS,,,,,,,,,F9 B5,,27 April 2015,00:10
34,,CCAFS,,,,,,,,,F9 B5,,28 June 2015,02:19:21
35,,KSC,,,,,,,,,F9 B5,,22 December 2015,15:30
36,,VAFB,,,,,,,,,F9 B5,,17 January 2016,14:07
37,,CCAFS,,,,,,,,,F9 B5,,4 March 2016,15:05
38,,KSC,,,,,,,,,F9 B5,,8 April 2016,04:50
39,,CCSFS,,,,,,,,,F9 B5,,6 May 2016,12:16
40,,KSC,,,,,,,,,F9 B5,,27 May 2016,19:30
41,,CCSFS,,,,,,,,,F9 B5,,15 June 2016,19:22
42,,KSC,,,,,,,,,F9 B5,,18 July 2016,01:25
43,,CCSFS,,,,,,,,,F9 B5,,14 August 2016,09:21
44,,CCAFS,,,,,,,,,F9 B5B1058.2,,14 January 2017,20:10:46
45,,CCAFS,,,,,,,,,F9 B5,,19 February 2017,21:30
46,,CCAFS,,,,,,,,,F9 B5B1049.6,,16 March 2017,05:12
47,,CCAFS,,,,,,,,,F9 B5,,30 March 2017,14:31
48,,CCAFS,,,,,,,,,F9 B5B1060.2,,1 May 2017,23:18
49,,VAFB,,,,,,,,,F9 B5B1058.3,,15 May 2017,12:46:14
50,,CCAFS,,,,,,,,,F9 B5B1051.6,,3 June 2017,11:29:34
51,,CCAFS,,,,,,,,,F9 B5,,23 June 2017,12:25:57
52,,Cape Canaveral,,,,,,,,,F9 B5,,25 June 2017,15:31:34
53,,Cape Canaveral,,,,,,,,,F9 B5,,5 July 2017,23:24:23
54,,Cape Canaveral,,,,,,,,,F9 B5,,14 August 2017,00:27
55,,Cape Canaveral,,,,,,,,,F9 B5 ♺,,24 August 2017,17:17:08
56,,Cape Canaveral,,,,,,,,,F9 B5 ♺,,7 September 2017,02:13
57,,Cape Canaveral,,,,,,,,,F9 B5 ♺,,9 October 2017,16:17:08
58,,Cape Canaveral,,,,,,,,,F9 B5 ♺,,11 October 2017,17:30:00
59,,Cape Canaveral,,,,,,,,,F9 B5,,30 October 2017,14:00:00
60,,Cape Canaveral,,,,,,,,,F9 B5B1051.8,,15 December 2017,02:15
61,,Cape Canaveral,,,,,,,,,F9 B5B1058.5,,23 December 2017,13:02
62,,Cape Canaveral,,,,,,,,,F9 v1.0B0003.1,,8 January 2018,15:00
63,,Cape Canaveral,,,,,,,,,F9 v1.0B0004.1,,31 January 2018,18:45
64,,VAFB,,,,,,,,,F9 v1.0B0005.1,,22 February 2018,15:43
65,,Cape Canaveral,,,,,,,,,F9 v1.0B0006.1,,6 March 2018,07:44
66,,Cape Canaveral,,,,,,,,,F9 v1.0B0007.1,,30 March 2018,00:35
67,,Cape Canaveral,,,,,,,,,F9 v1.1B1003,,2 April 2018,15:10
68,,Cape Canaveral,,,,,,,,,F9 v1.1,,18 April 2018,16:00
69,,Cape Canaveral,,,,,,,,,F9 v1.1,,11 May 2018,22:41
70,,Cape Canaveral,,,,,,,,,F9 v1.1,,22 May 2018,22:06
71,,Cape Canaveral,,,,,,,,,F9 v1.1,,4 June 2018,19:25
72,,VAFB,,,,,,,,,F9 v1.1,,29 June 2018,15:15
73,,KSC,,,,,,,,,F9 v1.1,,22 July 2018,08:00
74,,KSC,,,,,,,,,F9 v1.1,,25 July 2018,05:00
75,,KSC,,,,,,,,,F9 v1.1,,7 August 2018,05:52
76,,KSC,,,,,,,,,F9 v1.1,,10 September 2018,09:47
77,,KSC,,,,,,,,,F9 v1.1,,8 October 2018,23:03
78,,KSC,,,,,,,,,F9 v1.1,,15 November 2018,03:50
79,,KSC,,,,,,,,,F9 v1.1,,3 December 2018,20:10
80,,VAFB,,,,,,,,,F9 v1.1,,5 December 2018,23:03
81,,KSC,,,,,,,,,F9 FT,,23 December 2018,14:21
82,,KSC,,,,,,,,,F9 v1.1,,11 January 2019,01:29
83,,VAFB,,,,,,,,,F9 FT,,22 February 2019,18:42
84,,KSC,,,,,,,,,F9 FT,,2 March 2019,23:35
85,,VAFB,,,,,,,,,F9 FT,,4 May 2019,20:43
86,,KSC,,,,,,,,,F9 FT,,24 May 2019,05:21
87,,KSC,,,,,,,,,F9 FT,,12 June 2019,21:39
88,,Cape Canaveral,,,,,,,,,F9 FT,,25 July 2019,14:29
89,,VAFB,,,,,,,,,F9 FT,,6 August 2019,04:45
90,,CCAFS,,,,,,,,,F9 FT,,11 November 2019,05:26
91,,CCAFS,,,,,,,,,F9 FT,,5 December 2019,17:54
92,,VAFB,,,,,,,,,F9 FT,,17 December 2019,14:39
93,,CCAFS,,,,,,,,,F9 FT♺,,7 January 2020,06:00
94,,VAFB,,,,,,,,,F9 FT,,19 January 2020,22:27
95,,CCAFS,,,,,,,,,F9 FT,,29 January 2020,11:15
96,,CCAFS,,,,,,,,,F9 FT,,17 February 2020,23:21
97,,KSC,,,,,,,,,F9 FTB1029.2,,7 March 2020,21:07
98,,VAFB,,,,,,,,,F9 FT,,18 March 2020,19:10
99,,CCAFS,,,,,,,,,F9 FT,,22 April 2020,20:25
100,,CCAFS,,,,,,,,,F9 B4,,30 May 2020,23:38
101,,CCAFS,,,,,,,,,F9 FT,,4 June 2020,16:31
102,,VAFB,,,,,,,,,F9 B4,,13 June 2020,18:51
103,,CCAFS,,,,,,,,,F9 B4,,30 June 2020,14:00
104,,CCAFS,,,,,,,,,F9 FTB1031.2,,20 July 2020,12:37
105,,VAFB,,,,,,,,,F9 B4,,7 August 2020,22:53:00
106,,KSC,,,,,,,,,F9 FTB1035.2,,18 August 2020,19:34
1,,VAFB,,,,,,,,,F9 FTB1036.2,,30 August 2020,15:36
2,,CCAFS,,,,,,,,,F9 B4,,3 September 2020,01:27
3,,CCAFS,,,,,,,,,F9 FTB1032.2,,6 October 2020,01:00
4,,VAFB,,,,,,,,,F9 FTB1038.2,,18 October 2020,21:25
5,,CCAFS,,,,,,,,,F9 B4,,24 October 2020,14:17
6,,KSC,,,,,,,,,F9 B4B1041.2,,5 November 2020,05:33
7,,CCAFS,,,,,,,,,F9 B4B1039.2,,16 November 2020,14:14
8,,CCAFS,,,,,,,,,F9 B4,,21 November 2020,20:30
9,,VAFB,,,,,,,,,F9 B5B1046.1,,25 November 2020,22:51
10,,CCAFS,,,,,,,,,F9 B4B1043.2,,6 December 2020,20:14
11,,CCAFS,,,,,,,,,F9 B4B1040.2,,13 December 2020,19:47
12,,CCAFS,,,,,,,,,F9 B4B1045.2,,19 December 2020,04:45
13,,CCAFS,,,,,,,,,F9 B5,,8 January 2021,09:42
14,,CCAFS,,,,,,,,,F9 B5B1048,,20 January 2021,05:50
15,,CCAFS,,,,,,,,,F9 B5B1046.2,,24 January 2021,11:39
16,,KSC,,,,,,,,,F9 B5,,4 June 2010,05:18
17,,CCAFS,,,,,,,,,F9 B5B1048.2,,8 December 2010,04:45
18,,CCAFS,,,,,,,,,F9 B5B1047.2,,22 May 2012,02:22
19,,CCAFS,,,,,,,,,F9 B5B1046.3,,8 October 2012,20:46
20,,KSC,,,,,,,,,F9 B5,,1 March 2013,18:34:05
21,,KSC,,,,,,,,,F9 B5,,29 September 2013,18:16
22,,KSC,,,,,,,,,F9 B5B1049.2,,3 December 2013,13:51
23,,CCAFS,,,,,,,,,F9 B5B1048.3,,6 January 2014,15:31
24,,CCAFS,,,,,,,,,F9 B5[268],,18 April 2014,01:45
25,,CCAFS,,,,,,,,,F9 B5,,14 July 2014,07:49
26,,CCAFS,,,,,,,,,F9 B5B1049.3,,5 August 2014,06:48
27,,KSC,,,,,,,,,F9 B5B1051.2,,7 September 2014,02:30
28,,CCAFS,,,,,,,,,F9 B5B1056.2,,21 September 2014,14:17
29,,CCAFS,,,,,,,,,F9 B5B1047.3,,10 January 2015,22:01
30,,KSC,,,,,,,,,F9 B5,,11 February 2015,23:23
31,,KSC,,,,,,,,,F9 B5,,2 March 2015,14:56
32,,KSC,,,,,,,,,F9 B5B1056.3,,14 April 2015,17:29
33,,CCAFS,,,,,,,,,F9 B5,,27 April 2015,00:10
34,,CCAFS,,,,,,,,,F9 B5,,28 June 2015,02:19:21
35,,KSC,,,,,,,,,F9 B5,,22 December 2015,15:30
36,,VAFB,,,,,,,,,F9 B5,,17 January 2016,14:07
37,,CCAFS,,,,,,,,,F9 B5,,4 March 2016,15:05
38,,KSC,,,,,,,,,F9 B5,,8 April 2016,04:50
39,,CCSFS,,,,,,,,,F9 B5,,6 May 2016,12:16
40,,KSC,,,,,,,,,F9 B5,,27 May 2016,19:30
41,,CCSFS,,,,,,,,,F9 B5,,15 June 2016,19:22
42,,KSC,,,,,,,,,F9 B5,,18 July 2016,01:25
43,,CCSFS,,,,,,,,,F9 B5,,14 August 2016,09:21
44,,,,,,,,,,,F9 B5B1058.2,,14 January 2017,20:10:46
45,,,,,,,,,,,F9 B5,,19 February 2017,21:30
46,,,,,,,,,,,F9 B5B1049.6,,16 March 2017,05:12
47,,,,,,,,,,,F9 B5,,30 March 2017,14:31
48,,,,,,,,,,,F9 B5B1060.2,,1 May 2017,23:18
49,,,,,,,,,,,F9 B5B1058.3,,15 May 2017,12:46:14
50,,,,,,,,,,,F9 B5B1051.6,,3 June 2017,11:29:34
51,,,,,,,,,,,F9 B5,,23 June 2017,12:25:57
52,,,,,,,,,,,F9 B5,,25 June 2017,15:31:34
53,,,,,,,,,,,F9 B5,,5 July 2017,23:24:23
54,,,,,,,,,,,F9 B5,,14 August 2017,00:27
55,,,,,,,,,,,F9 B5 ♺,,24 August 2017,17:17:08
56,,,,,,,,,,,F9 B5 ♺,,7 September 2017,02:13
57,,,,,,,,,,,F9 B5 ♺,,9 October 2017,16:17:08
58,,,,,,,,,,,F9 B5 ♺,,11 October 2017,17:30:00
59,,,,,,,,,,,F9 B5,,30 October 2017,14:00:00
60,,,,,,,,,,,F9 B5B1051.8,,15 December 2017,02:15
61,,,,,,,,,,,F9 B5B1058.5,,23 December 2017,13:02
62,,,,,,,,,,,F9 v1.0B0003.1,,8 January 2018,15:00
63,,,,,,,,,,,F9 v1.0B0004.1,,31 January 2018,18:45
64,,,,,,,,,,,F9 v1.0B0005.1,,22 February 2018,15:43
65,,,,,,,,,,,F9 v1.0B0006.1,,6 March 2018,07:44
66,,,,,,,,,,,F9 v1.0B0007.1,,30 March 2018,00:35
67,,,,,,,,,,,F9 v1.1B1003,,2 April 2018,15:10
68,,,,,,,,,,,F9 v1.1,,18 April 2018,16:00
69,,,,,,,,,,,F9 v1.1,,11 May 2018,22:41
70,,,,,,,,,,,F9 v1.1,,22 May 2018,22:06
71,,,,,,,,,,,F9 v1.1,,4 June 2018,19:25
72,,,,,,,,,,,F9 v1.1,,29 June 2018,15:15
73,,,,,,,,,,,F9 v1.1,,22 July 2018,08:00
74,,,,,,,,,,,F9 v1.1,,25 July 2018,05:00
75,,,,,,,,,,,F9 v1.1,,7 August 2018,05:52
76,,,,,,,,,,,F9 v1.1,,10 September 2018,09:47
77,,,,,,,,,,,F9 v1.1,,8 October 2018,23:03
78,,,,,,,,,,,F9 v1.1,,15 November 2018,03:50
79,,,,,,,,,,,F9 v1.1,,3 December 2018,20:10
80,,,,,,,,,,,F9 v1.1,,5 December 2018,23:03
81,,,,,,,,,,,F9 FT,,23 December 2018,14:21
82,,,,,,,,,,,F9 v1.1,,11 January 2019,01:29
83,,,,,,,,,,,F9 FT,,22 February 2019,18:42
84,,,,,,,,,,,F9 FT,,2 March 2019,23:35
85,,,,,,,,,,,F9 FT,,4 May 2019,20:43
86,,,,,,,,,,,F9 FT,,24 May 2019,05:21
87,,,,,,,,,,,F9 FT,,12 June 2019,21:39
88,,,,,,,,,,,F9 FT,,25 July 2019,14:29
89,,,,,,,,,,,F9 FT,,6 August 2019,04:45
90,,,,,,,,,,,F9 FT,,11 November 2019,05:26
91,,,,,,,,,,,F9 FT,,5 December 2019,17:54
92,,,,,,,,,,,F9 FT,,17 December 2019,14:39
93,,,,,,,,,,,F9 FT♺,,7 January 2020,06:00
94,,,,,,,,,,,F9 FT,,19 January 2020,22:27
95,,,,,,,,,,,F9 FT,,29 January 2020,11:15
96,,,,,,,,,,,F9 FT,,17 February 2020,23:21
97,,,,,,,,,,,F9 FTB1029.2,,7 March 2020,21:07
98,,,,,,,,,,,F9 FT,,18 March 2020,19:10
99,,,,,,,,,,,F9 FT,,22 April 2020,20:25
100,,,,,,,,,,,F9 B4,,30 May 2020,23:38
101,,,,,,,,,,,F9 FT,,4 June 2020,16:31
102,,,,,,,,,,,F9 B4,,13 June 2020,18:51
103,,,,,,,,,,,F9 B4,,30 June 2020,14:00
104,,,,,,,,,,,F9 FTB1031.2,,20 July 2020,12:37
105,,,,,,,,,,,F9 B4,,7 August 2020,22:53:00
106,,,,,,,,,,,F9 FTB1035.2,,18 August 2020,19:34
1,,,,,,,,,,,F9 FTB1036.2,,30 August 2020,15:36
2,,,,,,,,,,,F9 B4,,3 September 2020,01:27
3,,,,,,,,,,,F9 FTB1032.2,,6 October 2020,01:00
4,,,,,,,,,,,F9 FTB1038.2,,18 October 2020,21:25
5,,,,,,,,,,,F9 B4,,24 October 2020,14:17
6,,,,,,,,,,,F9 B4B1041.2,,5 November 2020,05:33
7,,,,,,,,,,,F9 B4B1039.2,,16 November 2020,14:14
8,,,,,,,,,,,F9 B4,,21 November 2020,20:30
9,,,,,,,,,,,F9 B5B1046.1,,25 November 2020,22:51
10,,,,,,,,,,,F9 B4B1043.2,,6 December 2020,20:14
11,,,,,,,,,,,F9 B4B1040.2,,13 December 2020,19:47
12,,,,,,,,,,,F9 B4B1045.2,,19 December 2020,04:45
13,,,,,,,,,,,F9 B5,,8 January 2021,09:42
14,,,,,,,,,,,F9 B5B1048,,20 January 2021,05:50
15,,,,,,,,,,,F9 B5B1046.2,,24 January 2021,11:39
16,,,,,,,,,,,F9 B5,,4 June 2010,05:18
17,,,,,,,,,,,F9 B5B1048.2,,8 December 2010,04:45
18,,,,,,,,,,,F9 B5B1047.2,,22 May 2012,02:22
19,,,,,,,,,,,F9 B5B1046.3,,8 October 2012,20:46
20,,,,,,,,,,,F9 B5,,1 March 2013,18:34:05
21,,,,,,,,,,,F9 B5,,29 September 2013,18:16
22,,,,,,,,,,,F9 B5B1049.2,,3 December 2013,13:51
23,,,,,,,,,,,F9 B5B1048.3,,6 January 2014,15:31
24,,,,,,,,,,,F9 B5[268],,18 April 2014,01:45
25,,,,,,,,,,,F9 B5,,14 July 2014,07:49
26,,,,,,,,,,,F9 B5B1049.3,,5 August 2014,06:48
27,,,,,,,,,,,F9 B5B1051.2,,7 September 2014,02:30
28,,,,,,,,,,,F9 B5B1056.2,,21 September 2014,14:17
29,,,,,,,,,,,F9 B5B1047.3,,10 January 2015,22:01
30,,,,,,,,,,,F9 B5,,11 February 2015,23:23
31,,,,,,,,,,,F9 B5,,2 March 2015,14:56
32,,,,,,,,,,,F9 B5B1056.3,,14 April 2015,17:29
33,,,,,,,,,,,F9 B5,,27 April 2015,00:10
34,,,,,,,,,,,F9 B5,,28 June 2015,02:19:21
35,,,,,,,,,,,F9 B5,,22 December 2015,15:30
36,,,,,,,,,,,F9 B5,,17 January 2016,14:07
37,,,,,,,,,,,F9 B5,,4 March 2016,15:05
38,,,,,,,,,,,F9 B5,,8 April 2016,04:50
39,,,,,,,,,,,F9 B5,,6 May 2016,12:16
40,,,,,,,,,,,F9 B5,,27 May 2016,19:30
41,,,,,,,,,,,F9 B5,,15 June 2016,19:22
42,,,,,,,,,,,F9 B5,,18 July 2016,01:25
43,,,,,,,,,,,F9 B5,,14 August 2016,09:21
44,,,,,,,,,,,F9 B5B1058.2,,14 January 2017,20:10:46
45,,,,,,,,,,,F9 B5,,19 February 2017,21:30
46,,,,,,,,,,,F9 B5B1049.6,,16 March 2017,05:12
47,,,,,,,,,,,F9 B5,,30 March 2017,14:31
48,,,,,,,,,,,F9 B5B1060.2,,1 May 2017,23:18
49,,,,,,,,,,,F9 B5B1058.3,,15 May 2017,12:46:14
50,,,,,,,,,,,F9 B5B1051.6,,3 June 2017,11:29:34
51,,,,,,,,,,,F9 B5,,23 June 2017,12:25:57
52,,,,,,,,,,,F9 B5,,25 June 2017,15:31:34
53,,,,,,,,,,,F9 B5,,5 July 2017,23:24:23
54,,,,,,,,,,,F9 B5,,14 August 2017,00:27
55,,,,,,,,,,,F9 B5 ♺,,24 August 2017,17:17:08
56,,,,,,,,,,,F9 B5 ♺,,7 September 2017,02:13
57,,,,,,,,,,,F9 B5 ♺,,9 October 2017,16:17:08
58,,,,,,,,,,,F9 B5 ♺,,11 October 2017,17:30:00
59,,,,,,,,,,,F9 B5,,30 October 2017,14:00:00
60,,,,,,,,,,,F9 B5B1051.8,,15 December 2017,02:15
61,,,,,,,,,,,F9 B5B1058.5,,23 December 2017,13:02
62,,,,,,,,,,,,,8 January 2018,15:00
63,,,,,,,,,,,,,31 January 2018,
64,,,,,,,,,,,,,22 February 2018,
65,,,,,,,,,,,,,6 March 2018,
66,,,,,,,,,,,,,30 March 2018,
67,,,,,,,,,,,,,2 April 2018,
68,,,,,,,,,,,,,18 April 2018,
69,,,,,,,,,,,,,11 May 2018,
70,,,,,,,,,,,,,22 May 2018,
71,,,,,,,,,,,,,4 June 2018,
72,,,,,,,,,,,,,29 June 2018,
73,,,,,,,,,,,,,22 July 2018,
74,,,,,,,,,,,,,25 July 2018,
75,,,,,,,,,,,,,7 August 2018,
76,,,,,,,,,,,,,10 September 2018,
77,,,,,,,,,,,,,8 October 2018,
78,,,,,,,,,,,,,15 November 2018,
79,,,,,,,,,,,,,3 December 2018,
80,,,,,,,,,,,,,5 December 2018,
81,,,,,,,,,,,,,23 December 2018,
82,,,,,,,,,,,,,11 January 2019,
83,,,,,,,,,,,,,22 February 2019,
84,,,,,,,,,,,,,2 March 2019,
85,,,,,,,,,,,,,4 May 2019,
86,,,,,,,,,,,,,24 May 2019,
87,,,,,,,,,,,,,12 June 2019,
88,,,,,,,,,,,,,25 July 2019,
89,,,,,,,,,,,,,6 August 2019,
90,,,,,,,,,,,,,11 November 2019,
91,,,,,,,,,,,,,5 December 2019,
92,,,,,,,,,,,,,17 December 2019,
93,,,,,,,,,,,,,7 January 2020,
94,,,,,,,,,,,,,19 January 2020,
95,,,,,,,,,,,,,29 January 2020,
96,,,,,,,,,,,,,17 February 2020,
97,,,,,,,,,,,,,7 March 2020,
98,,,,,,,,,,,,,18 March 2020,
99,,,,,,,,,,,,,22 April 2020,
100,,,,,,,,,,,,,30 May 2020,
101,,,,,,,,,,,,,4 June 2020,
102,,,,,,,,,,,,,13 June 2020,
103,,,,,,,,,,,,,30 June 2020,
104,,,,,,,,,,,,,20 July 2020,
105,,,,,,,,,,,,,7 August 2020,
106,,,,,,,,,,,,,18 August 2020,
1,,,,,,,,,,,,,30 August 2020,
2,,,,,,,,,,,,,3 September 2020,
3,,,,,,,,,,,,,6 October 2020,
4,,,,,,,,,,,,,18 October 2020,
5,,,,,,,,,,,,,24 October 2020,
6,,,,,,,,,,,,,5 November 2020,
7,,,,,,,,,,,,,16 November 2020,
8,,,,,,,,,,,,,21 November 2020,
9,,,,,,,,,,,,,25 November 2020,
10,,,,,,,,,,,,,6 December 2020,
11,,,,,,,,,,,,,13 December 2020,
12,,,,,,,,,,,,,19 December 2020,
13,,,,,,,,,,,,,8 January 2021,
14,,,,,,,,,,,,,20 January 2021,
15,,,,,,,,,,,,,24 January 2021,
16,,,,,,,,,,,,,4 June 2010,
17,,,,,,,,,,,,,8 December 2010,
18,,,,,,,,,,,,,22 May 2012,
19,,,,,,,,,,,,,8 October 2012,
20,,,,,,,,,,,,,1 March 2013,
21,,,,,,,,,,,,,29 September 2013,
22,,,,,,,,,,,,,3 December 2013,
23,,,,,,,,,,,,,6 January 2014,
24,,,,,,,,,,,,,18 April 2014,
25,,,,,,,,,,,,,14 July 2014,
26,,,,,,,,,,,,,5 August 2014,
27,,,,,,,,,,,,,7 September 2014,
28,,,,,,,,,,,,,21 September 2014,
29,,,,,,,,,,,,,10 January 2015,
30,,,,,,,,,,,,,11 February 2015,
31,,,,,,,,,,,,,2 March 2015,
32,,,,,,,,,,,,,14 April 2015,
33,,,,,,,,,,,,,27 April 2015,
34,,,,,,,,,,,,,28 June 2015,
35,,,,,,,,,,,,,22 December 2015,
36,,,,,,,,,,,,,17 January 2016,
37,,,,,,,,,,,,,4 March 2016,
38,,,,,,,,,,,,,8 April 2016,
39,,,,,,,,,,,,,6 May 2016,
40,,,,,,,,,,,,,27 May 2016,
41,,,,,,,,,,,,,15 June 2016,
42,,,,,,,,,,,,,18 July 2016,
43,,,,,,,,,,,,,14 August 2016,
44,,,,,,,,,,,,,14 January 2017,
45,,,,,,,,,,,,,19 February 2017,
46,,,,,,,,,,,,,16 March 2017,
47,,,,,,,,,,,,,30 March 2017,
48,,,,,,,,,,,,,1 May 2017,
49,,,,,,,,,,,,,15 May 2017,
50,,,,,,,,,,,,,3 June 2017,
51,,,,,,,,,,,,,23 June 2017,
52,,,,,,,,,,,,,25 June 2017,
53,,,,,,,,,,,,,5 July 2017,
54,,,,,,,,,,,,,14 August 2017,
55,,,,,,,,,,,,,24 August 2017,
56,,,,,,,,,,,,,7 September 2017,
57,,,,,,,,,,,,,9 October 2017,
58,,,,,,,,,,,,,11 October 2017,
59,,,,,,,,,,,,,30 October 2017,
60,,,,,,,,,,,,,15 December 2017,
61,,,,,,,,,,,,,23 December 2017,
62,,,,,,,,,,,,,8 January 2018,
63,,,,,,,,,,,,,31 January 2018,
64,,,,,,,,,,,,,22 February 2018,
65,,,,,,,,,,,,,6 March 2018,
66,,,,,,,,,,,,,30 March 2018,
67,,,,,,,,,,,,,2 April 2018,
68,,,,,,,,,,,,,18 April 2018,
69,,,,,,,,,,,,,11 May 2018,
70,,,,,,,,,,,,,22 May 2018,
71,,,,,,,,,,,,,4 June 2018,
72,,,,,,,,,,,,,29 June 2018,
73,,,,,,,,,,,,,22 July 2018,
74,,,,,,,,,,,,,25 July 2018,
75,,,,,,,,,,,,,7 August 2018,
76,,,,,,,,,,,,,10 September 2018,
77,,,,,,,,,,,,,8 October 2018,
78,,,,,,,,,,,,,15 November 2018,
79,,,,,,,,,,,,,3 December 2018,
80,,,,,,,,,,,,,5 December 2018,
81,,,,,,,,,,,,,23 December 2018,
82,,,,,,,,,,,,,11 January 2019,
83,,,,,,,,,,,,,22 February 2019,
84,,,,,,,,,,,,,2 March 2019,
85,,,,,,,,,,,,,4 May 2019,
86,,,,,,,,,,,,,24 May 2019,
87,,,,,,,,,,,,,12 June 2019,
88,,,,,,,,,,,,,25 July 2019,
89,,,,,,,,,,,,,6 August 2019,
90,,,,,,,,,,,,,11 November 2019,
91,,,,,,,,,,,,,5 December 2019,
92,,,,,,,,,,,,,17 December 2019,
93,,,,,,,,,,,,,7 January 2020,
94,,,,,,,,,,,,,19 January 2020,
95,,,,,,,,,,,,,29 January 2020,
96,,,,,,,,,,,,,17 February 2020,
97,,,,,,,,,,,,,7 March 2020,
98,,,,,,,,,,,,,18 March 2020,
99,,,,,,,,,,,,,22 April 2020,
100,,,,,,,,,,,,,30 May 2020,
101,,,,,,,,,,,,,4 June 2020,
102,,,,,,,,,,,,,13 June 2020,
103,,,,,,,,,,,,,30 June 2020,
104,,,,,,,,,,,,,20 July 2020,
105,,,,,,,,,,,,,7 August 2020,
106,,,,,,,,,,,,,18 August 2020,
1,,,,,,,,,,,,,30 August 2020,
2,,,,,,,,,,,,,3 September 2020,
3,,,,,,,,,,,,,6 October 2020,
4,,,,,,,,,,,,,18 October 2020,
5,,,,,,,,,,,,,24 October 2020,
6,,,,,,,,,,,,,5 November 2020,
7,,,,,,,,,,,,,16 November 2020,
8,,,,,,,,,,,,,21 November 2020,
9,,,,,,,,,,,,,25 November 2020,
10,,,,,,,,,,,,,6 December 2020,
11,,,,,,,,,,,,,13 December 2020,
12,,,,,,,,,,,,,19 December 2020,
13,,,,,,,,,,,,,8 January 2021,
14,,,,,,,,,,,,,20 January 2021,
15,,,,,,,,,,,,,24 January 2021,
16,,,,,,,,,,,,,4 June 2010,
17,,,,,,,,,,,,,8 December 2010,
18,,,,,,,,,,,,,22 May 2012,
19,,,,,,,,,,,,,8 October 2012,
20,,,,,,,,,,,,,1 March 2013,
21,,,,,,,,,,,,,29 September 2013,
22,,,,,,,,,,,,,3 December 2013,
23,,,,,,,,,,,,,6 January 2014,
24,,,,,,,,,,,,,18 April 2014,
25,,,,,,,,,,,,,14 July 2014,
26,,,,,,,,,,,,,5 August 2014,
27,,,,,,,,,,,,,7 September 2014,
28,,,,,,,,,,,,,21 September 2014,
29,,,,,,,,,,,,,10 January 2015,
30,,,,,,,,,,,,,11 February 2015,
31,,,,,,,,,,,,,2 March 2015,
32,,,,,,,,,,,,,14 April 2015,
33,,,,,,,,,,,,,27 April 2015,
34,,,,,,,,,,,,,28 June 2015,
35,,,,,,,,,,,,,22 December 2015,
36,,,,,,,,,,,,,17 January 2016,
37,,,,,,,,,,,,,4 March 2016,
38,,,,,,,,,,,,,8 April 2016,
39,,,,,,,,,,,,,6 May 2016,
40,,,,,,,,,,,,,27 May 2016,
41,,,,,,,,,,,,,15 June 2016,
42,,,,,,,,,,,,,18 July 2016,
43,,,,,,,,,,,,,14 August 2016,
44,,,,,,,,,,,,,14 January 2017,
45,,,,,,,,,,,,,19 February 2017,
46,,,,,,,,,,,,,16 March 2017,
47,,,,,,,,,,,,,30 March 2017,
48,,,,,,,,,,,,,1 May 2017,
49,,,,,,,,,,,,,15 May 2017,
50,,,,,,,,,,,,,3 June 2017,
51,,,,,,,,,,,,,23 June 2017,
52,,,,,,,,,,,,,25 June 2017,
53,,,,,,,,,,,,,5 July 2017,
54,,,,,,,,,,,,,14 August 2017,
55,,,,,,,,,,,,,24 August 2017,
56,,,,,,,,,,,,,7 September 2017,
57,,,,,,,,,,,,,9 October 2017,
58,,,,,,,,,,,,,11 October 2017,
59,,,,,,,,,,,,,30 October 2017,
60,,,,,,,,,,,,,15 December 2017,
61,,,,,,,,,,,,,23 December 2017,
62,,,,,,,,,,,,,8 January 2018,
63,,,,,,,,,,,,,31 January 2018,
64,,,,,,,,,,,,,22 February 2018,
65,,,,,,,,,,,,,6 March 2018,
66,,,,,,,,,,,,,30 March 2018,
67,,,,,,,,,,,,,2 April 2018,
68,,,,,,,,,,,,,18 April 2018,
69,,,,,,,,,,,,,11 May 2018,
70,,,,,,,,,,,,,22 May 2018,
71,,,,,,,,,,,,,4 June 2018,
72,,,,,,,,,,,,,29 June 2018,
73,,,,,,,,,,,,,22 July 2018,
74,,,,,,,,,,,,,25 July 2018,
75,,,,,,,,,,,,,7 August 2018,
76,,,,,,,,,,,,,10 September 2018,
77,,,,,,,,,,,,,8 October 2018,
78,,,,,,,,,,,,,15 November 2018,
79,,,,,,,,,,,,,3 December 2018,
80,,,,,,,,,,,,,5 December 2018,
81,,,,,,,,,,,,,23 December 2018,
82,,,,,,,,,,,,,11 January 2019,
83,,,,,,,,,,,,,22 February 2019,
84,,,,,,,,,,,,,2 March 2019,
